Model,Scaler,Oversampler,Training Time,Accuracy,Precision_0,Precision_1,Recall_0,Recall_1,F1_0,F1_1
LR_Normal,MinMax,SMOTE,0.570417881,0.9192386831,0.884252711,0.9612337295,0.9647633745,0.8737139918,0.9227552276,0.9153866882
LR_GridSearched,MinMax,SMOTE,34.70188117,0.9223251029,0.888179669,0.9630569656,0.9663065844,0.8783436214,0.9255974378,0.9187516815
DT_Normal,MinMax,SMOTE,0.1916739941,1,1,1,1,1,1,1
DT_GridSearched,MinMax,SMOTE,12.15017867,0.9853395062,0.9794207317,0.99140625,0.9915123457,0.9791666667,0.9854294479,0.9852484472
RF_Normal,MinMax,SMOTE,5.474543333,1,1,1,1,1,1,1
RF_GridSearched,MinMax,SMOTE,219.3710616,0.9891975309,0.9805457302,0.9981665794,0.9981995885,0.9801954733,0.9892939077,0.9890994031
SVM_NORMAL,MinMax,SMOTE,4.157639265,0.9403292181,0.9037735849,0.9841628959,0.9855967078,0.8950617284,0.9429133858,0.9375
SVM_GridSearched,MinMax,SMOTE,68.29749227,0.9194958848,0.8613203367,1,1,0.8389917695,0.92549393,0.9124475524
GaussianNB,MinMax,SMOTE,0.03425860405,0.6730967078,0.9456953642,0.6074050431,0.3672839506,0.978909465,0.5290848462,0.7496553083
KNN_Normal,MinMax,SMOTE,1.629279852,0.9659207819,0.9643681107,0.967483871,0.9675925926,0.9642489712,0.9659776608,0.9658637125
KNN_GridSearched,MinMax,SMOTE,18.73439574,0.9736368313,0.9677419355,0.9796822089,0.9799382716,0.9673353909,0.9738019169,0.9734696519
LR_Normal,MinMax,ADASYN,0.2713367939,0.9201384438,0.883666275,0.9639029893,0.9670781893,0.8734985944,0.9234925703,0.9164767395
LR_GridSearched,MinMax,ADASYN,33.72800183,0.9200102551,0.8845428841,0.9623278043,0.9655349794,0.8747763864,0.9232661092,0.9164658635
DT_Normal,MinMax,ADASYN,0.1342344284,1,1,1,1,1,1,1
DT_GridSearched,MinMax,ADASYN,12.80088949,0.9867965645,0.9765802065,0.9973890339,0.9974279835,0.9762330693,0.9868940069,0.9866976624
RF_Normal,MinMax,ADASYN,3.561383724,1,1,1,1,1,1,1
RF_GridSearched,MinMax,ADASYN,200.3324533,0.9923086784,0.9855403349,0.9992225965,0.9992283951,0.9854331715,0.9923371648,0.9922799794
SVM_NORMAL,MinMax,ADASYN,2.874639988,0.9359056531,0.8950559701,0.9857671506,0.9871399177,0.8849987222,0.9388454012,0.9326690008
SVM_GridSearched,MinMax,ADASYN,65.3463521,0.9157800282,0.8554455446,1,1,0.8320981344,0.9220917823,0.9083554192
GaussianNB,MinMax,ADASYN,0.03246355057,0.6709396231,0.9441829186,0.6065885334,0.3611111111,0.9787886532,0.5224186047,0.7489977511
KNN_Normal,MinMax,ADASYN,0.6310734749,0.965260864,0.9647905423,0.9657289003,0.9655349794,0.9649884999,0.9651626173,0.9653585581
KNN_GridSearched,MinMax,ADASYN,20.24729395,0.9730803743,0.9684156903,0.9778064516,0.9778806584,0.968310759,0.97312516,0.9730354391
LR_Normal,MinMax,Random,0.443202734,0.7791923868,0.8067250636,0.7561954213,0.7343106996,0.8240740741,0.7688164804,0.7886769231
LR_GridSearched,MinMax,Random,60.34161162,0.7817644033,0.8064335664,0.7607712449,0.7415123457,0.8220164609,0.7726115503,0.7902089257
DT_Normal,MinMax,Random,0.1846210957,1,1,1,1,1,1,1
DT_GridSearched,MinMax,Random,9.385614634,1,1,1,1,1,1,1
RF_Normal,MinMax,Random,3.278902292,1,1,1,1,1,1,1
RF_GridSearched,MinMax,Random,171.5884562,1,1,1,1,1,1,1
SVM_NORMAL,MinMax,Random,8.769095182,0.8257458848,0.8737090587,0.7886938682,0.7615740741,0.8899176955,0.8137968943,0.8362537764
SVM_GridSearched,MinMax,Random,158.1230867,0.8748713992,0.9282985601,0.8332952207,0.8125,0.9372427984,0.8665477987,0.8822176492
GaussianNB,MinMax,Random,0.03357362747,0.6217849794,0.9797365755,0.569745176,0.2487139918,0.9948559671,0.3967179487,0.724548094
KNN_Normal,MinMax,Random,0.920031786,0.9557613169,1,0.9187145558,0.9115226337,1,0.9537136706,0.957635468
KNN_GridSearched,MinMax,Random,19.45237374,1,1,1,1,1,1,1
LR_Normal,Robust,SMOTE,0.2631800175,0.9197530864,0.8883864826,0.9566312255,0.9601337449,0.879372428,0.9228677379,0.9163763066
LR_GridSearched,Robust,SMOTE,45.18743277,0.9242541152,0.8913404508,0.9632125807,0.9663065844,0.8822016461,0.9273108725,0.9209289838
DT_Normal,Robust,SMOTE,0.2124221325,1,1,1,1,1,1,1
DT_GridSearched,Robust,SMOTE,10.59418201,0.9827674897,0.9725579053,0.9934279706,0.9935699588,0.9719650206,0.9829516539,0.9825793032
RF_Normal,Robust,SMOTE,4.773976564,1,1,1,1,1,1,1
RF_GridSearched,Robust,SMOTE,208.3630285,0.9949845679,0.9900687548,1,1,0.9899691358,0.9950095969,0.9949592865
SVM_NORMAL,Robust,SMOTE,2.934468269,0.9493312757,0.9234125061,0.978630137,0.9799382716,0.9187242798,0.9508360369,0.9477314938
SVM_GridSearched,Robust,SMOTE,67.94347,0.9140946502,0.853380158,1,1,0.8281893004,0.9208905732,0.9060213844
GaussianNB,Robust,SMOTE,0.05512714386,0.6778549383,0.9475728155,0.6109773712,0.3765432099,0.9791666667,0.5389287686,0.7524458939
KNN_Normal,Robust,SMOTE,1.879761696,0.9656635802,0.9716071894,0.9598679197,0.9593621399,0.9719650206,0.9654458393,0.9658785942
KNN_GridSearched,Robust,SMOTE,17.12161899,0.9744084362,0.976,0.9728274801,0.9727366255,0.9760802469,0.9743655803,0.9744511491
LR_Normal,Robust,ADASYN,0.2713894844,0.9206511986,0.8898163606,0.9564855876,0.9596193416,0.8819320215,0.9234005692,0.9176971147
LR_GridSearched,Robust,ADASYN,47.40390944,0.9216767081,0.8878106509,0.961689038,0.9647633745,0.8788653207,0.9246887711,0.9184136734
DT_Normal,Robust,ADASYN,0.1311144829,1,1,1,1,1,1,1
DT_GridSearched,Robust,ADASYN,11.633219,0.9801307525,0.9700327373,0.9906005222,0.9907407407,0.969588551,0.980277389,0.9799819192
RF_Normal,Robust,ADASYN,4.207583427,1,1,1,1,1,1,1
RF_GridSearched,Robust,ADASYN,200.7641513,0.9946160749,0.9893129771,1,1,0.9892665474,0.994627782,0.9946043165
SVM_NORMAL,Robust,ADASYN,3.118108273,0.9478272016,0.9172860225,0.9829201102,0.9840534979,0.9118323537,0.9494974563,0.9460426886
SVM_GridSearched,Robust,ADASYN,69.19965959,0.9112934239,0.8489082969,1,1,0.8231535906,0.9182805857,0.9029997197
GaussianNB,Robust,ADASYN,0.04934453964,0.6715805666,0.9402390438,0.6073073868,0.3641975309,0.9769997444,0.5250278087,0.7490203762
KNN_Normal,Robust,ADASYN,1.322119474,0.9648762979,0.9715553236,0.9584278156,0.9575617284,0.9721441349,0.964507772,0.9652372494
KNN_GridSearched,Robust,ADASYN,17.41177011,1,1,1,1,1,1,1
LR_Normal,Robust,Random,0.2299749851,0.7852366255,0.8184951177,0.7582673498,0.7330246914,0.8374485597,0.7734056988,0.7958934246
LR_GridSearched,Robust,Random,32.04032207,0.7789351852,0.8045492839,0.7572953737,0.736882716,0.8209876543,0.7692307692,0.7878563495
DT_Normal,Robust,Random,0.1155893803,1,1,1,1,1,1,1
DT_GridSearched,Robust,Random,9.435950518,1,1,1,1,1,1,1
RF_Normal,Robust,Random,4.247815847,1,1,1,1,1,1,1
RF_GridSearched,Robust,Random,170.6663563,1,1,1,1,1,1,1
SVM_NORMAL,Robust,Random,8.958802462,0.8605967078,0.9243341404,0.8135062612,0.7854938272,0.9356995885,0.8492769744,0.8703349282
SVM_GridSearched,Robust,Random,168.4701083,0.9277263374,0.9684507042,0.8935163275,0.8842592593,0.9711934156,0.9244420543,0.9307369978
GaussianNB,Robust,Random,0.03261971474,0.6336162551,0.9859681946,0.5774563888,0.271090535,0.9961419753,0.425257212,0.7310995753
KNN_Normal,Robust,Random,0.625664711,0.9602623457,1,0.9263759828,0.9205246914,1,0.9586179188,0.9617810761
KNN_GridSearched,Robust,Random,19.08693194,1,1,1,1,1,1,1
LR_Normal,Standard,SMOTE,0.1896879673,0.9259259259,0.8948497854,0.9623115578,0.9652777778,0.8865740741,0.9287305122,0.9228915663
LR_GridSearched,Standard,SMOTE,52.52047753,0.9210390947,0.8903195041,0.9570072585,0.9603909465,0.8816872428,0.9240287058,0.9178045515
DT_Normal,Standard,SMOTE,0.1345505714,1,1,1,1,1,1,1
DT_GridSearched,Standard,SMOTE,12.56048441,0.977494856,0.96751448,0.9879106439,0.9881687243,0.9668209877,0.9777325359,0.9772520473
RF_Normal,Standard,SMOTE,3.523910284,1,1,1,1,1,1,1
RF_GridSearched,Standard,SMOTE,197.9239852,0.9951131687,0.9903209373,1,1,0.9902263374,0.9951369337,0.9950891703
SVM_NORMAL,Standard,SMOTE,2.756207466,0.9471450617,0.9210462582,0.9766931725,0.9781378601,0.9161522634,0.9487339404,0.9454545455
SVM_GridSearched,Standard,SMOTE,63.49112391,0.9090792181,0.8461371055,1,1,0.8181584362,0.9166568431,0.8999858537
GaussianNB,Standard,SMOTE,0.03694272041,0.6529063786,0.9453183521,0.5922993324,0.3245884774,0.9812242798,0.483247176,0.7386968729
KNN_Normal,Standard,SMOTE,0.583994627,0.9670781893,0.9618514751,0.9724245578,0.9727366255,0.9614197531,0.9672634271,0.9668908432
KNN_GridSearched,Standard,SMOTE,18.70038843,1,1,1,1,1,1,1
LR_Normal,Standard,ADASYN,0.394308567,0.9228304064,0.8906324299,0.9605006954,0.9634773663,0.8824431383,0.925623919,0.9198188599
LR_GridSearched,Standard,ADASYN,53.32465315,0.9211639533,0.8864226682,0.9624228828,0.9655349794,0.877076412,0.9242890558,0.9177697553
DT_Normal,Standard,ADASYN,0.1270928383,1,1,1,1,1,1,1
DT_GridSearched,Standard,ADASYN,11.53763747,0.982822715,0.9735116044,0.992442012,0.9925411523,0.9731663685,0.9829342843,0.9827096774
RF_Normal,Standard,ADASYN,4.210330248,1,1,1,1,1,1,1
RF_GridSearched,Standard,ADASYN,198.4799716,0.9947442636,0.9895647748,1,1,0.9895221058,0.9947550211,0.9947334618
SVM_NORMAL,Standard,ADASYN,2.809954882,0.9428278426,0.9103481164,0.9805932908,0.9819958848,0.9039100434,0.9448156397,0.9406914894
SVM_GridSearched,Standard,ADASYN,60.47344708,0.9151390847,0.8545054945,1,1,0.8308203424,0.9215453899,0.9075935232
GaussianNB,Standard,ADASYN,0.03285837173,0.6532495834,0.9518716578,0.5930375847,0.320473251,0.9838998211,0.4795074081,0.7400288323
KNN_Normal,Standard,ADASYN,0.5848641396,0.9665427509,0.9625095639,0.9706185567,0.9706790123,0.9624329159,0.9665770265,0.966508405
KNN_GridSearched,Standard,ADASYN,17.33716416,1,1,1,1,1,1,1
LR_Normal,Standard,Random,0.1513786316,0.775462963,0.7994966443,0.755,0.7353395062,0.8155864198,0.7660771704,0.7841246291
LR_GridSearched,Standard,Random,23.96053219,0.7734053498,0.7975923852,0.7528544244,0.7327674897,0.8140432099,0.7638069705,0.7822540781
DT_Normal,Standard,Random,0.1780376434,1,1,1,1,1,1,1
DT_GridSearched,Standard,Random,9.434101343,1,1,1,1,1,1,1
RF_Normal,Standard,Random,3.14672184,1,1,1,1,1,1,1
RF_GridSearched,Standard,Random,169.6574116,1,1,1,1,1,1,1
SVM_NORMAL,Standard,Random,8.035877466,0.8612397119,0.9306961055,0.8110741971,0.7806069959,0.941872428,0.8490698,0.8715934785
SVM_GridSearched,Standard,Random,208.0883467,0.9148662551,0.9645737327,0.874767658,0.8613683128,0.9683641975,0.9100543478,0.9191894531
GaussianNB,Standard,Random,0.0310177803,0.5906635802,0.9769959405,0.5500923689,0.1856995885,0.995627572,0.3120812622,0.7086498856
KNN_Normal,Standard,Random,0.5997290611,0.9574331276,1,0.9215453899,0.9148662551,1,0.9555406313,0.9591710867
KNN_GridSearched,Standard,Random,17.0969522,1,1,1,1,1,1,1
